[2024-07-28 15:40:12] Received request from client => 784 => Request Type: Login, Client Username: Asmaa
[2024-07-28 15:40:25] Received request from client => 784 => Request Type: GetBalance, Client Username: Asmaa
[2024-07-28 15:40:40] Received request from client => 784 => Request Type: Deposit, Client Username: Asmaa
[2024-07-28 15:40:40] Deposit of 600 to account 123456 successful. New balance: 7900
[2024-07-28 15:40:59] Received request from client => 784 => Request Type: GetHistory, Client Username: Asmaa
[2024-07-29 00:01:19] Received request from client => 964 => Request Type: Login, Client Username: Asmaa
[2024-07-29 00:02:36] Received request from client => 772 => Request Type: Login, Client Username: Asmaa
[2024-07-29 00:02:39] Received request from client => 772 => Request Type: Exit, Client Username: Asmaa
[2024-07-29 00:03:10] Received request from client => 788 => Request Type: Login, Client Username: Alaa
[2024-07-29 00:03:49] Received request from client => 924 => Request Type: Login, Client Username: Asmaa
[2024-07-29 13:45:39] Received request from client => 684 => Request Type: Login, Client Username: Asmaa
[2024-07-29 13:46:30] Received request from client => 932 => Request Type: Login, Client Username: Alaa
[2024-07-29 13:46:40] Received request from client => 932 => Request Type: GetAccountNumberAdmin, Client Username: Alaa
[2024-07-29 13:46:45] Received request from client => 932 => Request Type: GetAccountNumberAdmin, Client Username: Alaa
[2024-07-29 13:46:57] Received request from client => 684 => Request Type: GetBalance, Client Username: Asmaa
[2024-07-29 13:47:01] Received request from client => 684 => Request Type: GetBalance, Client Username: Asmaa
[2024-07-29 13:47:07] Received request from client => 684 => Request Type: GetBalance, Client Username: Asmaa
[2024-07-29 16:35:50] Received request from client => 760 => Request Type: Login, Client Username: Asmaa
[2024-07-29 16:35:52] Received request from client => 760 => Request Type: GetAccountNumber, Client Username: Asmaa
[2024-07-29 16:35:58] Received request from client => 760 => Request Type: GetBalance, Client Username: Asmaa
[2024-07-29 16:36:01] Received request from client => 760 => Request Type: GetBalance, Client Username: Asmaa
[2024-07-29 16:36:05] Received request from client => 760 => Request Type: GetBalance, Client Username: Asmaa
[2024-07-29 16:36:12] Received request from client => 760 => Request Type: GetHistory, Client Username: Asmaa
[2024-07-29 16:36:51] Received request from client => 760 => Request Type: Withdraw, Client Username: Asmaa
[2024-07-29 16:36:51] Withdrawal of 300 from account 123456 successful. New balance: 7600
[2024-07-29 16:37:43] Received request from client => 760 => Request Type: Deposit, Client Username: Asmaa
[2024-07-29 16:37:43] Deposit of 500 to account 123456 successful. New balance: 8100
[2024-07-29 16:37:47] Received request from client => 760 => Request Type: Deposit, Client Username: Asmaa
[2024-07-29 16:37:50] Received request from client => 760 => Request Type: Deposit, Client Username: Asmaa
[2024-07-29 16:38:00] Received request from client => 760 => Request Type: TransferAmount, Client Username: Asmaa
[2024-07-29 16:38:13] Received request from client => 760 => Request Type: TransferAmount, Client Username: Asmaa
[2024-07-29 16:38:13] Transfer of 700 from account 123456 to account 124679 successful!
[2024-07-29 16:38:31] Received request from client => 760 => Request Type: Login, Client Username: Alaa
[2024-07-29 16:38:35] Received request from client => 760 => Request Type: GetAccountNumberAdmin, Client Username: Alaa
[2024-07-29 16:38:41] Received request from client => 760 => Request Type: GetBalanceAdmin, Client Username: Alaa
[2024-07-29 16:38:44] Received request from client => 760 => Request Type: GetBalanceAdmin, Client Username: Alaa
[2024-07-29 16:40:23] Received request from client => 760 => Request Type: GetBalanceAdmin, Client Username: Alaa
[2024-07-29 16:40:30] Received request from client => 760 => Request Type: GetTransactionHistoryAdmin, Client Username: Alaa
[2024-07-29 16:40:33] Received request from client => 760 => Request Type: GetTransactionHistoryAdmin, Client Username: Alaa
[2024-07-29 16:40:41] Received request from client => 760 => Request Type: GetTransactionHistoryAdmin, Client Username: Alaa
[2024-07-29 16:40:56] Received request from client => 760 => Request Type: CreateNewUser, Client Username: Alaa
[2024-07-29 16:41:01] Received request from client => 760 => Request Type: CreateNewUser, Client Username: Alaa
[2024-07-29 16:41:21] Received request from client => 760 => Request Type: UpdateUserData, Client Username: Alaa
[2024-07-29 16:41:42] Received request from client => 760 => Request Type: DeleteUser, Client Username: Alaa
[2024-07-29 16:41:44] Received request from client => 760 => Request Type: ViewBankDataBase, Client Username: Alaa
[2024-07-29 16:41:51] Received request from client => 760 => Request Type: ViewBankDataBase, Client Username: Alaa
[2024-07-29 18:29:58] Received request from client => 964 => Request Type: Login, Client Username: Alaa
[2024-07-29 18:31:25] Received request from client => 964 => Request Type: CreateNewUser, Client Username: Alaa
[2024-07-29 18:31:33] Received request from client => 964 => Request Type: CreateNewUser, Client Username: Alaa
